id,ingredient_name,meal_id,measure
879,red wine,80,100ml
880,chopped tomatoes,80,400g tinned
881,caster sugar,80,½ tsp
882,pitted black olives,80,50g cut in half lengthways
883,rigatoni,80,500g
884,pecorino,80,30g roughly crumbled into 0.5cm pieces
885,anchovy fillet,80,1  rinsed and patted dry
886,garlic,80,"1 clove, peeled and crushed"
887,olive oil,80,60ml
888,basil leaves,80,50g torn
889,Miniature Marshmallows,81,2 cups
890,Chocolate Chips,81,3 cups
891,Peanut Butter,81,½ cup
892,Vanilla Extract,81,1 tsp
893,Peanuts,81,1 ¼ cups
894,Mackerel,82,4
895,Red Chili,82,18 dried
896,Ginger,82,1 inch
897,Garlic,82,8 cloves
898,Pepper,82,1.5 tsp
899,Cumin,82,1 tsp
900,Turmeric,82,½ tsp
901,Cinnamon stick,82,""
902,Clove,82,4
903,Cardamom,82,2
904,Sugar,82,1 tbsp
905,Tamarind ball,82,2 marble sized
906,Vinegar,82,2.5 tbsp
907,Oil,82,for frying
908,Olive Oil,83,5 tablespoons
909,Onion,83,1 chopped
910,Carrot,83,1 chopped
911,Celery,83,1 stalk chopped
912,Garlic,83,1 tablespoon minced
913,Cannellini Beans,83,2 cups
914,Canned tomatoes,83,1
915,Water,83,4 cups
916,Rosemary,83,1 fresh sprig
917,Thyme,83,1 fresh sprig
918,Kale,83,1 pound chopped
919,Wholegrain Bread,83,4 thick slices
920,Red Onion,83,1 thinly sliced
921,Parmesan,83,½ cup freshly grated
922,Olive Oil,84,2 tablespoons
923,Carrots,84,2 small cut into chunks
924,Celery,84,2 small stalks
925,Onion,84,1 medium finely diced
926,Garlic,84,6 medium cloves sliced
927,Brown Lentils,84,12 ounces (340g)
928,Bay Leaves,84,2
929,Water,84,4 cups
930,Salt,84,Pinch
931,Apple Cider Vinegar,84,2 teaspoons (10ml)
932,Pepper,84,Pinch
933,Egg Plants,84,2 large
934,Rosemary,84,4 sprigs
935,Pine nuts,84,1/4 cup 
936,Parsley,84,2 tablespoons
937,Self-raising Flour,85,225g
938,Caster Sugar,85,75g
939,Baking Powder,85,1 tsp 
940,Butter,85,125g
941,Dried Fruit,85,150g
942,Eggs,85,1
943,Milk,85,1 tbs
944,Vanilla Extract,85,2 tsp
945,Aubergine,86,2 large
946,Courgettes,86,4
947,Yellow Pepper,86,2
948,Tomato,86,4 large
949,Olive Oil,86,5 tbs
950,Basil,86,Bunch
951,Onion,86,1 medium
952,Garlic Clove,86,3 finely chopped
953,Red Wine Vinegar,86,1 tsp 
954,Sugar,86,1 tsp 
955,Butter,87,2 tbs
956,Onions,87,2 chopped
957,Chicken Stock,87,4 qt 
958,Chicken Breast,87,1.5kg
959,Potatoes,87,4kg
960,Salt,87,2 tbs
961,Black Pepper,87,1tbsp
962,Kidney Beans,88,2 cups 
963,Carrots,88,1 large
964,Spring Onions,88,2 chopped
965,Thyme,88,4 sprigs
966,Onion,88,1 Diced
967,Black Pepper,88,1/2 tsp
968,Red Pepper,88,2 chopped
969,Garlic Clove,88,4 Mashed
970,Allspice,88,1 tbs
971,Beef,88,2 Lbs
972,Water,88,2L
973,Potatoes,88,4
974,Plain Flour,88,1 cup 
975,Water,88,1/4 cup
976,Coconut Milk,88,1 cup 
977,Baby Aubergine,89,6 small
978,Fennel,89,4 small
979,Red Pepper,89,1 thinly sliced
980,Courgettes,89,1 medium
981,Onion,89,1 finely chopped 
982,Paella Rice,89,300g
983,Paprika,89,1 tsp 
984,Saffron,89,pinch
985,White Wine,89,200ml
986,Vegetable Stock,89,700ml
987,Frozen Peas,89,100g 
988,Lemon,89,1 chopped
989,Parsley,89,Handful
990,Salt,89,pinch
991,Black Pepper,89,pinch
992,Chicken Legs,90,4 Chopped
993,Onions,90,2 large
994,Carrots,90,5 chopped
995,Leek,90,1 chopped
996,Celery,90,1 small
997,Cabbage,90,1/4 
998,Cloves,90,1 whole
999,Allspice,90,1tsp
1000,Bay Leaf,90,2
1001,Parsley,90,4 sprigs
1002,Dill,90,4 sprigs
1003,Pepper,90,1 tsp 
1004,Salt,90,1 tbs
1005,Butter,91,1 cup 
1006,Egg Yolks,91,3
1007,Cream Cheese,91,8 oz 
1008,Baking Powder,91,1 tsp 
1009,Flour,91,3 cups 
1010,Jam,91,1 Jar
1011,Minced Beef,92,1/4 lb
1012,Onion,92,1
1013,Eggs,92,3
1014,Chilli,92,1 tbs
1015,Baguette,92,1/2 
1016,Salt,92,To taste
1017,Pepper,92,To taste
1018,Mayonnaise,92,Top
1019,Fries,93,250 Grams
1020,Doner Meat,93,500 Grams
1021,Garlic sauce,93,Topping
1022,Hotsauce,93,Topping
1023,Lettuce,93,1 Bulb
1024,Tomato,93,1
1025,Cucumber,93,3rd
1026,Gouda cheese,93,100 Grams
1027,Chicken,94,1 whole
1028,Oil,94,2 quarts neutral frying
1029,Egg White,94,1
1030,Flour,94,1 1/2 cups 
1031,Brown Sugar,94,1 tablespoon
1032,Salt,94,1 tablespoon
1033,paprika,94,1 tablespoon
1034,onion salt,94,2 teaspoons
1035,chili powder,94,1 teaspoon
1036,black pepper,94,1 teaspoon
1037,celery salt,94,1/2 teaspoon
1038,sage,94,1/2 teaspoon
1039,garlic powder,94,1/2 teaspoon
1040,allspice,94,1/2 teaspoon
1041,oregano,94,1/2 teaspoon
1042,basil,94,1/2 teaspoon
1043,marjoram,94,1/2 teaspoon
1044,chicken breast,95,4 pounded to 1cm thickness
1045,plain flour,95,2 tablespoons
1046,egg,95,1 beaten
1047,breadcrumbs,95,100g fine
1048,vegetable oil,95,230ml frying
1049,sunflower oil,95,2 tablespoons
1050,onions,95,2 sliced
1051,garlic,95,5 chopped cloves
1052,carrot,95,2 sliced
1053,plain flour,95,2 tablespoons
1054,curry powder,95,4 teaspoons
1055,chicken stock,95,600ml
1056,honey,95,2 teaspoons
1057,soy sauce,95,4 teaspoons
1058,bay leaf,95,1
1059,garam masala,95,1 teaspoon
1060,Digestive Biscuits,96,300g
1061,Butter,96,150g
1062,Condensed Milk,96,400g
1063,Egg Yolks,96,3
1064,Lime,96,4
1065,Double Cream,96,300ml 
1066,Icing Sugar,96,1 tbls
1067,Lime,96,to serve
1068,Vegetable Oil,97,1 tbls
1069,Onion,97,1 finely chopped 
1070,Garlic,97,2 cloves chopped
1071,Ginger,97,1 part 
1072,Coriander,97,1 Packet
1073,Cumin,97,1 tsp 
1074,Paprika,97,1 tsp 
1075,Garam Masala,97,2 tsp
1076,Chopped Tomatoes,97,400g
1077,Kidney Beans,97,400g
1078,Basmati Rice,97,to serve
1079,Smoked Haddock,98,300g
1080,Bay Leaves,98,2
1081,Milk,98,300ml 
1082,Eggs,98,4
1083,Parsley,98,Handful
1084,Coriander,98,Handful
1085,Vegetable Oil,98,2 tbs
1086,Onion,98,1 chopped
1087,Coriander,98,1 tsp 
1088,Curry Powder,98,2 tsp
1089,Rice,98,300g
1090,Sake,99,2 tbs
1091,Soy Sauce,99,2 tbs
1092,Sesame Seed Oil,99,2 tbs
1093,Corn Flour,99,2 tbs
1094,Water,99,2 tbs
1095,Chicken,99,500g
1096,Chilli Powder,99,1 tbs
1097,Rice Vinegar,99,1 tsp 
1098,Brown Sugar,99,1 tbs
1099,Spring Onions,99,4 Chopped
1100,Garlic Clove,99,6 cloves
1101,Water Chestnut,99,220g
1102,Peanuts,99,100g 
1103,Prawns,100,400g
1104,Soy Sauce,100,2 tbs
1105,Tomato Puree,100,1 tsp 
1106,Corn Flour,100,1 tsp 
1107,Caster Sugar,100,1 tsp 
1108,Sunflower Oil,100,1 tsp 
1109,Peanuts,100,85g
1110,Chilli,100,3 Large
1111,Brown Sugar,100,1 tbs
1112,Garlic Clove,100,6 cloves
1113,Water Chestnut,100,450g
1114,Ginger,100,to taste
1115,Potatoes,101,5 Large
1116,Olive Oil,101,2 tbs
1117,Green Pepper,101,1
1118,Onions,101,5
1119,Ras el hanout,101,1 tbs
1120,Pumpkin,101,500g
1121,Eggs,101,24 Skinned
1122,Salt,101,Pinch
1123,Pepper,101,Pinch
1124,Olive Oil,102,4 tbs
1125,Lamb,102,750g
1126,Saffron,102,1 1/2 tsp 
1127,Onion,102,1 Large Chopped
1128,Water,102,25 ml
1129,Parsley,102,30g
1130,Butter,102,1 tbs
1131,Lemon,102,1
1132,Potatoes,103,2 large
1133,Butter,103,2 tbs
1134,Cheese,103,150g
1135,Onion,103,1 large
1136,Red Pepper,103,1 large
1137,Red Chile Flakes,103,Pinch
1138,Yeast,104,1/4 ounce
1139,Water,104,1/4 cup
1140,Water,104,1 1/2 cups 
1141,Sugar,104,1/2 cup 
1142,Salt,104,1 tsp 
1143,Eggs,104,2
1144,Shortening,104,1/3 cup
1145,Flour,104,5 drops
1146,Canola Oil,104,Sprinking
1147,Milk,104,1/2 cup
1148,Sugar,104,2 cups 
1149,Vanilla,104,1 1/2 cups 
1150,Boiling Water,104,6 tablespoons
1151,Butter,104, 1/3 cup
1152,Brown Lentils,105,1 1/2 cups 
1153,Rice,105,1 1/2 cups 
1154,Coriander,105,1/2 tsp
1155,Macaroni,105,2 cups 
1156,Chickpeas,105,Can
1157,Onion,105,1 large
1158,Salt,105,Sprinking
1159,Vegetable Oil,105,1/2 cup 
1160,Veal,106,4 meaty shanks
1161,Flour,106,½ cup
1162,Olive Oil,106,2 tablespoons 
1163,Butter,106,3 tablespoons
1164,Onion,106,1 medium chopped into ½-inch pieces
1165,Carrot,106,1 chopped into ½-inch pieces
1166,Celery,106,1 chopped into ½-inch pieces
1167,Fennel,106,1 bulb chopped into ½-inch pieces
1168,Garlic,106,3 cloves
1169,Orange Zest,106,2 strips
1170,Marjoram,106,1 ½ teaspoons
1171,Bay Leaf,106,1
1172,Dry White Wine,106,1 cup
1173,Chicken Stock,106,½ cup 
1174,Tomatoes,106,1 cup chopped with juice
1175,Parsley,106,2 tablespoons chopped
1176,Garlic,106,1 teaspoon minced
1177,Lemon Zest,106,1 teaspoon grated 
1178,Oxtail,107,450g
1179,Onion,107,1 chopped
1180,Spring Onions,107,1
1181,Garlic,107,2 cloves minced
1182,Ginger,107,1 tsp 
1183,Scotch Bonnet,107,1 chopped
1184,Soy Sauce,107,2 tbs
1185,Fresh Thyme,107,1 chopped
1186,Vegetable Oil,107,2 tbs
1187,Water,107,350ml
1188,Broad Beans,107,200g
1189,Corn Flour,107,1 tbs
1190,Water,107,2 tbs
1191,rice stick noodles,108,6oz/180g
1192,dark soy sauce,108,2 tbsp
1193,oyster sauce,108,2 tbsp
1194,soy sauce,108,2 tsp
1195,white vinegar,108,2 tsp
1196,sugar,108,2 tsp
1197,water,108,2 tbsp
1198,peanut oil,108,2 tbsp
1199,garlic,108,2 cloves
1200,Chicken,108,1 cup
1201,Egg,108,1
1202,Chinese broccoli,108,4 cups
1203,Potatoes,109,800g
1204,Onions,109,3
1205,Olive Oil,109,2 tblsp
1206,Chicken Stock,109,100ml
1207,Creme Fraiche,109,1 pot
1208,Parmesan,109,Topping
1209,Chicken Breasts,109,4
1210,Bacon,109,4
1211,Spinach,109,Topping
1212,Peas,109,Topping
1213,Vegetable Oil,110,Dash
1214,Beef Gravy,110,1 Can
1215,Potatoes,110,5 thin cut
1216,Cheese Curds,110,2 cups
1217,Spaghetti,111,300g
1218,Olive Oil,111,1 tbls
1219,Onion,111,1 finely chopped 
1220,Garlic,111,2 cloves minced
1221,Red Chilli,111,1
1222,Tomato Puree,111,1 tbls
1223,Pilchards,111,425g
1224,Black Olives,111,70g
1225,Parmesan,111,Shaved
1226,Goose Fat,112,4 tbsp
1227,Pork,112,350g
1228,Onion,112,1 large
1229,Garlic,112,10
1230,Carrots,112,1 thinly sliced
1231,Fennel Seeds,112,1 tsp 
1232,Red Wine Vinegar,112,2 tblsp 
1233,Vegetable Stock,112,600ml
1234,Tomato Puree,112,1 tblsp 
1235,Rosemary,112,2 sticks
1236,Parsley,112,Handful
1237,Haricot Beans,112,400g
1238,Breadcrumbs,112,2 tblsp 
1239,Oil,112,drizzle
1240,Bread,112,to serve
1241,Broccoli,112,to serve
1242,Flour,113,100g 
1243,Eggs,113,2 large
1244,Milk,113,300ml 
1245,Sunflower Oil,113,1 tbls
1246,Sugar,113,to serve
1247,Raspberries,113,to serve
1248,Blueberries,113,to serve
1249,Pumpkin,114,750g
1250,Shortcrust Pastry,114,350g
1251,Plain Flour,114,Dusting
1252,Caster Sugar,114,140g
1253,Salt,114,½ tsp
1254,Nutmeg,114,½ tsp
1255,Cinnamon,114,1 tsp 
1256,Eggs,114,2 Beaten 
1257,Butter,114,25g
1258,Milk,114,175g
1259,Icing Sugar,114,1 tblsp 
1260,Butter,115,50g
1261,Peanut Cookies,115,175g
1262,Gelatine Leafs,115,5
1263,Ricotta,115,500g
1264,Peanut Butter,115,175g
1265,Golden Syrup,115,175g
1266,Milk,115,150ml
1267,Double Cream,115,275ml
1268,Light Brown Soft Sugar,115,2 tblsp 
1269,Peanut Brittle,115,Crushed
1270,Corn Flour,116,1 tsp 
1271,Orange,116,Juice of 2
1272,Orange,116,Zest of 1
1273,Caster Sugar,116,2 tbs
1274,Peaches,116,6
1275,Blueberries,116,250g
1276,Self-raising Flour,116,200g
1277,Butter,116,50g
1278,Muscovado Sugar,116,100g 
1279,Cinnamon,116,1 tsp 
1280,Milk,116,6 tblsp
1281,Butter,117,200g
1282,Egg,117,1 large
1283,Milk,117,4 tbs
1284,Golden Syrup,117,200g
1285,Black Treacle,117,85g
1286,Brown Sugar,117,85g
1287,Oatmeal,117,100g 
1288,Self-raising Flour,117,250g
1289,Ground Ginger,117,1 tbs
1290,Pears,118,8
1291,Caster Sugar,118,100g 
1292,Butter,118,100g 
1293,Star Anise,118,2
1294,Cardamom,118,3 Pods
1295,Cinnamon,118,1 large
1296,Brandy,118,2 tbs
1297,Puff Pastry,118,500g
1298,Eggs,119,10
1299,Olive Oil,119,1 tbs
1300,Courgettes,119,2 finely chopped
1301,Spring Onions,119,3 finely chopped
1302,Red Pepper,119,4
1303,Garlic Clove,119,1 clove peeled crushed
1304,Red Chilli,119,1
1305,Cream Cheese,119,300g
1306,Milk,119,6 tblsp
1307,Chives,119,4 tbs
1308,Basil,119,2 tbs
1309,Rocket,119,to serve
1310,Parmesan,119,to serve
1311,Tiger Prawns,120,450g
1312,Olive Oil,120,4 tbs
1313,Onion,120,1 large
1314,Fennel,120,1 large
1315,Carrots,120,2 chopped
1316,Dry White Wine,120,150ml
1317,Brandy,120,1 tbs
1318,Chopped Tomatoes,120,400g
1319,Fish Stock,120,1L
1320,Paprika,120,2 pinches
1321,Double Cream,120,150ml
1322,Prawns,120,8
1323,Potatoes,121,4 cups 
1324,Butter,121,60ml
1325,Milk,121,½ cup 
1326,Minced Beef,121,450g
1327,Onion,121,1 finely chopped 
1328,Creamed Corn,121,500ml
1329,Paprika,121,to taste
1330,Parsley,121,to taste
1331,Salt,121,Dash
1332,Pepper,121,Dash
1333,Butter,122,½ cup 
1334,Sugar,122,1 cup 
1335,Eggs,122,2
1336,Vanilla Extract,122,1 tsp 
1337,Flour,122,2 cups 
1338,Baking Powder,122,1 tsp 
1339,Milk,122,1 1/4 cup
1340,Maple Syrup,122,1 1/2 cup 
1341,Brown Sugar,122,1 1/2 cup 
1342,Single Cream,122,1 1/2 cup 
1343,Butter,122,1/3 cup
1344,Peanut Butter,123,1 cup 
1345,Sugar,123,1/2 cup 
1346,Egg,123,1
1347,Water,124,150ml
1348,Sugar,124,1 tsp 
1349,Yeast,124,15g
1350,Plain Flour,124,225g
1351,Salt,124,1 1/2 tsp 
1352,Olive Oil,124,Drizzle
1353,Passata,124,80g
1354,Mozzarella,124,70g
1355,Oregano,124,Peeled and Sliced
1356,Basil,124,Leaves
1357,Black Pepper,124,Pinch
1358,Flour,125,1 cup 
1359,Salt,125,1/4 tsp
1360,Egg,125,1 Yolk
1361,Egg,125,1
1362,Butter,125,5 tbs
1363,Butter,125,6 tblsp
1364,Onion,125,1/3 cup
1365,Swede,125,1/2 cup 
1366,Beef Brisket,125,1/2 lb
1367,Eggs,125,2 Beaten 
1368,Salt,125,1 tsp 
1369,Pepper,125,1/4 tsp
1370,Butter,126,2 tbs
1371,Chopped Onion,126,1/3 cup
1372,Sauerkraut,126,1 1/2 cups 
1373,Butter,126,3 tbs
1374,Chopped Onion,126,1/2 cup 
1375,Potatoes,126,2 cups 
1376,Eggs,126,3
1377,Sour Cream,126,1 pot
1378,Flour,126,3 cups 
1379,Salt,126,1/4 tsp
1380,Baking Powder,126,1 tbs
1381,Flour,127,1 cup 
1382,Eggs,127,2
1383,Milk,127,1 cup 
1384,Water,127,3/4 cup 
1385,Salt,127,Pinch
1386,Sugar,127,1 tsp 
1387,Butter,127,3 tbs
1388,Chicken,128,1.5kg
1389,Red Chilli,128,3 chopped
1390,Garlic,128,2 cloves
1391,Ginger,128,1 tsp 
1392,Dried Oregano,128,1 tsp 
1393,Coriander,128,1 tsp 
1394,Paprika,128,1 tsp 
1395,Red Wine Vinegar,128,2 tbs
1396,Oil,128,2 tbs
1397,Red Onions,128,1 sliced
1398,Carrots,128,2
1399,Beetroot,128,1
1400,Cabbage,128,4 leaves
1401,Mayonnaise,128,2 tbs
1402,Greek Yogurt,128,2 tbs
1403,Red Wine Vinegar,128,2 tbs
1404,Cumin Seeds,128,1 tsp 
1405,Garlic,129,1 clove
1406,Beef Fillet,129,2 small
1407,Olive Oil,129,2 tbs
1408,Vinegar,129,1 tbs
1409,Parsley,129,Leaves
1410,Ciabatta,129,2
1411,Rocket,129,2 handfulls
1412,Basil Leaves,129,Small bunch
1413,Parsley,129,Small bunch
1414,Jalapeno,129,1
1415,Vinegar,129,1 tbs
1416,Spring Onions,129,2 chopped
1417,Garlic,129,1/2 
1418,Caster Sugar,129,1/2 tsp
1419,Pork,130,2
1420,White Wine,130,200ml
1421,Paprika,130,1/2 tsp
1422,Lemon,130,2
1423,Lemon Juice,130,1/2 
1424,Olive Oil,130,Dash
1425,Mayonnaise,130,To serve
1426,Potatoes,130,1 kg
1427,Vegetable Oil,130,For frying
1428,Onions,131,2 finely chopped
1429,Red Pepper,131,1 Diced
1430,Coriander,131,Small bunch
1431,Red Chilli,131,1 small
1432,Garlic,131,3 cloves
1433,Dry White Wine,131,400ml
1434,Saffron,131,Pinch
1435,Bay Leaf,131,1
1436,Potatoes,131,300g
1437,Plum Tomatoes,131,400g
1438,Cod,131,600g
1439,Squid,131,300g
1440,Tiger Prawns,131,8
1441,Clams,131,500g
1442,Mussels,131,500g
1443,Baguette,131,1 sliced
1444,Plain Flour,132,2 tbs
1445,Icing Sugar,132,2 tbs
1446,Puff Pastry,132,375g
1447,Caster Sugar,132,250g
1448,Lemon Zest,132,2 strips
1449,Cinnamon,132,1 Stick
1450,Eggs,132,2
1451,Egg Yolks,132,4
1452,Corn Flour,132,50g
1453,Whole Milk,132,500ml
1454,Vanilla,132,Pod of
1455,Cinnamon,132,To serve
1456,Butter,133,50g
1457,Self-raising Flour,133,250g
1458,Vanilla,133,1 small
1459,Suet,133,50g
1460,Milk,133,150ml
1461,Raspberry Jam,133,100g 
1462,Custard,133,to serve
1463,Chicken Thighs,134,12
1464,Lime,134,1/2 
1465,Spring Onions,134,1  bunch
1466,Ginger,134,1 tbs chopped
1467,Garlic,134,3 cloves
1468,Onion,134,1/2 
1469,Red Chilli,134,3 chopped
1470,Thyme,134,1/2 teaspoon
1471,Lime,134,Juice of 1
1472,Soy Sauce,134,2 tbs
1473,Vegetable Oil,134,2 tbs
1474,Brown Sugar,134,3 tbs
1475,Allspice,134,1 tbs
1476,Basmati Rice,134,200g
1477,Coconut Milk,134,400g
1478,Spring Onions,134,1  bunch
1479,Thyme,134,2 sprigs
1480,Garlic,134,2 cloves chopped
1481,Allspice,134,1 tbs
1482,Kidney Beans,134,800g
1483,Plain Flour,135,4 cups 
1484,Salt,135,1 tsp 
1485,Curry Powder,135,1 tsp 
1486,Butter,135,250g
1487,Water,135,1 cup 
1488,Minced Beef,135,900g
1489,Allspice,135,1 tsp 
1490,Black Pepper,135,1/2 tsp
1491,Vegetable Oil,135,2 tbs
1492,Onions,135,1 cup 
1493,Red Pepper,135,Ground
1494,Garlic,135,2 tsp ground
1495,Thyme,135,1 tbs
1496,Salt,135,1/4 tsp
1497,Tomato Ketchup,135,2 tbs
1498,Water,135,2 cups 
1499,Onions,135,1/2 cup 
1500,Egg,135,1 beaten
1501,Water,135,1 tbs
1502,Water,135,1/4 cup
1503,Sushi Rice,136,300g
1504,Mirin,136,1 tbs
1505,Pickle Juice,136,Garnish
1506,Spring Onions,136,Garnish
1507,Vegetable Oil,137,1 tbs
1508,Onion,137,1 large
1509,Pork,137,1 chopped
1510,Vegetable Stock,137,150ml
1511,Soy Sauce,137,1 tbs
1512,Mirin,137,1 tsp 
1513,Sugar,137,1 tsp 
1514,Eggs,137,2 Beaten 
1515,Sushi Rice,137,200g
1516,Chives,137,Chopped
1517,Floury Potatoes,138,900g
1518,Olive Oil,138,2 tbsp
1519,Semi-skimmed Milk,138,600ml
1520,White Fish Fillets,138,800g
1521,Plain flour,138,1 tbsp
1522,Nutmeg,138,Grating
1523,Double Cream,138,3 tbsp
1524,Jerusalem Artichokes,138,200g
1525,Leek,138,1 finely sliced
1526,Prawns,138,200g peeled raw
1527,Parsley,138,Large handful
1528,Dill,138,Handful
1529,Lemon,138,Grated zest of 1
1530,Gruyère,138,25g grated
1531,Lemon,138,Juice of 1
1532,Olive Oil,139,3 tablespoons
1533,Onion,139,1
1534,Garlic,139,2 cloves
1535,Carrot,139,1
1536,French Lentils,139,2 1/4 cups
1537,Thyme,139,1 teaspoon
1538,Bay Leaf,139,3
1539,Salt,139,1 tablespoon
1540,Celery,139,2 sticks
1541,Clotted Cream,140,227g
1542,Butter,140,25g
1543,Corn Flour,140,1 tsp 
1544,Parmesan Cheese,140,100g 
1545,Nutmeg,140,Grated
1546,Fettuccine,140,250g
1547,Parsley,140,Chopped
1548,Sausages,141,4
1549,Bacon,141,4
1550,Mushrooms,141,4
1551,Tomatoes,141,3
1552,Black Pudding,141,2 sliced
1553,Eggs,141,2
1554,Bread,141,1 Slice
1555,Baked Beans,141,100g 
1556,Butter,142,50g
1557,Olive Oil,142,1 tbs
1558,Onion,142,1 kg
1559,Sugar,142,1 tsp 
1560,Garlic Clove,142,4 sliced
1561,Plain Flour,142,2 tbs
1562,Dry White Wine,142,250ml
1563,Beef Stock,142,1L
1564,Bread,142,4 sliced
1565,Gruyère,142,140g
1566,Butter,143,75g
1567,Leek,143,1kg
1568,Salt,143,½ tsp
1569,Creme Fraiche,143,300ml 
1570,Egg,143,1
1571,Egg Yolks,143,3
1572,Nutmeg,143,¼ teaspoon
1573,Plain Flour,143,225g
1574,Salt,143,½ tsp
1575,Butter,143,60g
1576,Lard,143,60g
1577,Cheddar Cheese,143,50g
1578,Water,143,2 tbs
1579,Eggs,144,3
1580,Butter,144,2 knobs
1581,Parmesan,144,1 tsp 
1582,Tarragon,144,3 chopped
1583,Parsley,144,1 tbs chopped
1584,Chives,144,1 tbs chopped
1585,Gruyère,144,4 tbs
1586,Prawns,145,6 large
1587,Olive Oil,145,3 tbs
1588,Dry White Wine,145,150ml
1589,Fish Stock,145,200ml
1590,Fennel,145,1 small finely diced
1591,Onion,145,1 small finely diced
1592,Garlic,145,3 cloves Chopped
1593,Potatoes,145,1 large
1594,Orange,145,1
1595,Star Anise,145,1
1596,Bay Leaf,145,1
1597,Harissa Spice,145,1 1/2 tsp 
1598,Tomato Puree,145,2 tbs
1599,Chopped Tomatoes,145,400g
1600,Mussels,145,Handful
1601,White Fish,145,200g
1602,Thyme,145,2
1603,Bread,145,to serve
1604,Potatoes,146,225g
1605,Fennel,146,1 small
1606,Garlic,146,1 clove finely chopped
1607,Milk,146,75 ml 
1608,Double Cream,146,100ml
1609,Butter,146,For Greasing
1610,Parmesan Cheese,146,to serve
1611,Cream Cheese,147,1 1/4 oz 
1612,Sugar,147,1 1/4 cup
1613,Vanilla Extract,147,1 teaspoon
1614,Flour,147,""
1615,Puff Pastry,147,2
1616,Strawberries,147,""
1617,Raspberries,147,""
1618,Blackberries,147,""
1619,Chicken Breasts,148,2
1620,Carrots,148,12 ounces
1621,Small Potatoes,148,5
1622,Onion,148,1
1623,Beef Stock,148,1
1624,Mozzarella,148,1 1/2 cup 
1625,Sour Cream,148,2 tbsp
1626,Butter,148, 
1627,Sugar,148, 
1628,Vegetable Oil,148, 
1629,Salt,148, 
1630,Pepper,148, 
1631,Broad Beans,149,2 cups 
1632,Parsley,149,1/3 cup
1633,Olive Oil,149,Dash
1634,Lemons,149,3
1635,Garlic Clove,149,4
1636,Cumin,149,Sprinking
1637,Flour,150,4 cups 
1638,Water,150,1 1/2 cups 
1639,Salt,150,1/4 tsp
1640,Unsalted Butter,150,1 cup 
1641,Olive Oil,150,1/4 cup
1642,Haddock,151,600g
1643,Potatoes,151,300g
1644,Green Chilli,151,1 chopped
1645,Coriander,151,3 tbs
1646,Cumin Seeds,151,1 tsp 
1647,Pepper,151,1/2 tsp
1648,Garlic,151,3 cloves
1649,Ginger,151,2 pieces 
1650,Flour,151,2 tbs
1651,Eggs,151,3
1652,Breadcrumbs,151,75g
1653,Vegetable Oil,151,For frying
1654,Sardines,152,500g
1655,Vegetable Oil,152,Dash
1656,Flour,152,To Glaze
1657,Salt,152,Dash
1658,Fettuccine,153,1 lb
1659,Heavy Cream,153,1/2 cup 
1660,Butter,153,1/2 cup 
1661,Parmesan,153,1/2 cup 
1662,Parsley,153,2 tbsp
1663,Black Pepper,153, 
1664,Plain chocolate,154,250g
1665,Butter,154,175g
1666,Milk,154,2 tablespoons
1667,Eggs,154,5
1668,Granulated Sugar,154,175g
1669,Flour,154,125g
1670,Enchilada sauce,155,14 oz jar
1671,shredded Monterey Jack cheese,155,3 Cups
1672,corn tortillas,155,6
1673,chicken breasts,155,2
1674,Flour,156,250g
1675,Butter,156,125g
1676,Egg,156,1
1677,Salt,156,Pinch
1678,Cheese,156,300g
1679,Milk,156,100ml milk
1680,Eggs,156,3
1681,Parmesan Cheese,156,100g
1682,Plum tomatoes,156,350g
1683,White Vinegar,156,3tbsp
1684,Honey,156,1 tbsp
1685,Basil,156,Topping
1686,salted butter,157,250g
1687,dark soft brown sugar,157,225g
1688,golden syrup,157,150g
1689,orange,157,Zest of 1
1690,rolled oats,157,500g
1691,Christmas pudding,157,250g
1692,Chicken,158,1.2 kg
1693,Onion,158,5 thinly sliced
1694,Tomatoes,158,2 finely chopped
1695,Garlic,158,8 cloves chopped
1696,Ginger paste,158,1 tbsp
1697,Vegetable oil,158,¼ cup
1698,Cumin seeds,158,2 tsp
1699,Coriander seeds,158,3 tsp
1700,Turmeric powder,158,1 tsp
1701,Chilli powder,158,1 tsp
1702,Green chilli,158,2
1703,Yogurt,158,1 cup
1704,Cream,158,¾ cup
1705,fenugreek,158,3 tsp Dried
1706,Garam masala,158,1 tsp
1707,Salt,158,To taste
1708,Butter,159,2 tablespoons
1709,Olive Oil,159,3 tablespoons
1710,Chicken,159,5 boneless
1711,Salt,159,1 teaspoon
1712,Squash,159,1 cut into 1/2-inch cubes
1713,Broccoli,159,1 Head chopped
1714,mushrooms,159,8-ounce sliced
1715,Pepper,159,1 red
1716,onion,159,1 chopped
1717,garlic,159,3 cloves
1718,red pepper flakes,159,1/2 teaspoon
1719,white wine,159,1/2 cup
1720,milk,159,1/2 cup
1721,heavy cream,159,1/2 cup
1722,Parmesan cheese,159,1 cup grated
1723,bowtie pasta,159,16 ounces
1724,Salt,159,pinch
1725,Pepper,159,pinch 
1726,Parsley,159,chopped
1727,macaroni,160,500g
1728,chicken stock,160,2 cups
1729,heavy cream,160,1/2 cup
1730,fajita seasoning,160,1 packet
1731,salt,160,1 tsp
1732,chicken breast,160,3 diced
